avg_utility,avg_time_per_incident,investigation_rate,dismiss_rate,caught_attacks,missed_attacks,total_utility,total_time,total_incidents,gamma
-59.95818453334988,0.5,0.0,1.0,0,2033,-1798745.5360004965,15000.0,30000,0.0
-5.769299766575694,4.6660525833328945,0.5214333333333333,0.47856666666666664,427,45,-173078.9929972708,139981.57749998683,30000,0.01
-5.750651661000305,5.002961333332802,0.5635333333333333,0.43646666666666667,422,32,-172519.54983000914,150088.83999998408,30000,0.02
-5.621338589078155,5.15047574999948,0.5819666666666666,0.4180333333333333,374,29,-168640.15767234465,154514.27249998442,30000,0.03
-6.18530442824204,5.47831108333279,0.6229333333333333,0.37706666666666666,377,24,-185559.1328472612,164349.3324999837,30000,0.04
-6.516206294288381,5.62875624999947,0.6417333333333334,0.3582666666666667,380,19,-195486.18882865141,168862.6874999841,30000,0.05
-6.037521183532875,5.80507991666613,0.6637666666666666,0.33623333333333333,333,14,-181125.63550598625,174152.3974999839,30000,0.06
-8.495791666666667,8.495791666666667,1.0,0.0,346,0,-254873.75,254873.75,30000,0.07
-8.495791666666667,8.495791666666667,1.0,0.0,365,0,-254873.75,254873.75,30000,0.08
-8.495791666666667,8.495791666666667,1.0,0.0,386,0,-254873.75,254873.75,30000,0.09
-8.495791666666667,8.495791666666667,1.0,0.0,366,0,-254873.75,254873.75,30000,0.1
